City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaitape,PF,82.17,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
2,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Sharjah,AE,87.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
7,Marsh Harbour,BS,75.54,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
10,Sao Jose Da Coroa Grande,BR,81.52,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
14,Cabo San Lucas,MX,85.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
19,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
25,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
32,Sao Filipe,CV,76.62,clear sky,14.8961,-24.4956,Hotel Xaguate
35,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Linhares,BR,81.05,overcast clouds,-19.3911,-40.0722,Hotel Conceição
46,Sabana Grande De Boya,DO,84.7,overcast clouds,18.945,-69.7933,Balcones De Boya
52,Rikitea,PF,79.52,light rain,-23.1203,-134.9692,People ThankYou
56,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
59,Bac Lieu,VN,78.76,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
61,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
62,Butaritari,KI,80.53,light rain,3.0707,172.7902,Isles Sunset Lodge
68,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
86,Caravelas,BR,81.48,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
88,Sao Felix Do Xingu,BR,84.81,broken clouds,-6.6447,-51.995,Rio Xingu Camping
98,Santiago Del Estero,AR,80.53,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
101,Semporna,MY,78.96,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
103,Shasta Lake,US,77.95,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
107,Padang,ID,77.85,moderate rain,-0.9492,100.3543,Mercure Padang
111,Asyut,EG,87.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
112,Brownsville,US,81.09,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
115,Beira,MZ,80.69,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
121,Manadhoo,MV,84.6,broken clouds,5.7667,73.3833,Bon Abri maldives
130,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
136,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
141,Hithadhoo,MV,83.1,scattered clouds,-0.6,73.0833,Scoop Guest House
145,Lavras,BR,76.82,overcast clouds,-21.2453,-44.9997,Hotel Ouro Lavras
148,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Hotel Imperador
151,Atuona,PF,79.47,overcast clouds,-9.8,-139.0333,Villa Enata
153,Kavieng,PG,79.47,light rain,-2.5744,150.7967,Nusa Island Retreat
154,Buala,SB,80.98,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
156,Maragogi,BR,81.18,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
159,San Patricio,US,82.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Tahta,EG,82.72,clear sky,26.7693,31.5021,فندق الزيات
163,Kinshasa,CD,81.75,clear sky,-4.3246,15.3215,Star Hotel II
176,Kikwit,CD,75.9,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
180,Grand Gaube,MU,77.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
181,Grand-Lahou,CI,81.48,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
182,Tual,ID,82.06,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
183,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
184,Labuhan,ID,77.09,broken clouds,-6.8844,112.2051,DoubleFAG
186,Jacareacanga,BR,83.14,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
189,Pacific Grove,US,81.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
192,La Cruz,MX,79.79,broken clouds,23.9167,-106.9,Jesús angel
193,Urucara,BR,82.38,heavy intensity rain,-2.5364,-57.76,Pousada Maria Bonita
194,Atar,MR,86.92,clear sky,20.5169,-13.0499,Oumou Elghoura
197,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
199,Hatillo,PR,81.39,overcast clouds,18.4863,-66.8254,El Buen Hotel
203,Belmonte,BR,82.24,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
209,Faanui,PF,82.09,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
213,Male,MV,84.24,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
218,Laguna,US,87.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
219,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
220,Rio Cuarto,AR,87.33,clear sky,-33.1307,-64.3499,Hotel Menossi
221,Healdsburg,US,86.9,overcast clouds,38.6105,-122.8692,Best Western Dry Creek Inn
223,Dalbandin,PK,80.74,clear sky,28.8947,64.4101,Sanjrani House
226,Bull Savanna,JM,81.09,overcast clouds,17.8868,-77.5902,Big Red's
227,Meulaboh,ID,76.84,overcast clouds,4.1363,96.1285,Kost Pria
230,Jaciara,BR,85.23,overcast clouds,-15.9653,-54.9683,Taba Hotel
233,Ugoofaaru,MV,84.54,scattered clouds,5.6667,73.0,Ungoofaaru Inn
243,Sumbe,AO,77.47,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
244,Igbo Ora,NG,83.17,light rain,7.4333,3.2833,Pinkbell Inn
249,Kerema,PG,77.13,overcast clouds,-7.9631,145.7785,Frena Lodge
251,Port-Gentil,GA,80.38,moderate rain,-0.7193,8.7815,Fengshui Residence
255,Vanimo,PG,77.04,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
258,Sorong,ID,79.03,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
260,Santo Tomas,PH,79.56,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
267,Phalodi,IN,86.7,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
268,Cururupu,BR,80.28,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
273,Raisen,IN,81.5,clear sky,23.3333,77.8,Hotel Amogh
274,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
277,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
280,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
283,Bima,ID,75.07,overcast clouds,-8.4667,118.7167,Lambitu Hotel
285,Itarema,BR,81.99,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
286,Iquitos,PE,88.88,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
291,Kirakira,SB,80.11,overcast clouds,-10.4544,161.9205,SanBiz Lodge
292,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
298,Trincomalee,LK,78.78,overcast clouds,8.5711,81.2335,Welcombe Hotel
302,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
312,Inhambane,MZ,76.48,overcast clouds,-23.865,35.3833,Oceano
313,Sambava,MG,76.86,light rain,-14.2667,50.1667,Melrose
315,Bathsheba,BB,80.35,few clouds,13.2167,-59.5167,Atlantis Hotel
322,San-Pedro,CI,81.97,overcast clouds,4.7485,-6.6363,Hotel Maria
333,Harlingen,US,81.05,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
338,Lethem,GY,82.02,overcast clouds,3.3803,-59.7968,Savannah Inn
345,Sibolga,ID,75.92,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
351,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
352,Elat,IL,78.64,dust,29.5581,34.9482,Club Hotel Eilat
353,Iralaya,HN,84.6,overcast clouds,15.0,-83.2333,Iglesia morava renovada
359,Joao Monlevade,BR,77.79,broken clouds,-19.81,-43.1736,Hotel Colonial Aquarius
366,Boa Vista,BR,82.11,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
368,Guerrero Negro,MX,86.13,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
369,Kavaratti,IN,83.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
373,Jaltenango,MX,81.09,overcast clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
374,General Roca,AR,80.62,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
375,Sao Miguel Do Araguaia,BR,88.21,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
