City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kwinana,AU,-32.25,115.7667,61.34,100,91,16.67,overcast clouds
1,Vaitape,PF,-16.5167,-151.75,82.17,74,100,19.26,overcast clouds
2,Vaini,TO,-21.2,-175.2,75.36,94,75,0.0,broken clouds
3,Norman Wells,CA,65.282,-126.8329,30.24,47,20,3.44,few clouds
4,Hobart,AU,-42.8794,147.3294,52.05,87,0,8.05,clear sky
5,Sharjah,AE,25.3573,55.4033,87.78,41,0,3.44,clear sky
6,Mataura,NZ,-46.1927,168.8643,47.37,77,97,4.43,overcast clouds
7,Marsh Harbour,BS,26.5412,-77.0636,75.54,70,100,15.79,overcast clouds
8,Kaitangata,NZ,-46.2817,169.8464,50.45,75,11,10.16,few clouds
9,Lavrentiya,RU,65.5833,-171.0,-12.53,90,77,2.08,broken clouds
10,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.52,75,41,8.32,scattered clouds
11,Ostrovnoy,RU,68.0531,39.5131,31.57,95,100,20.54,overcast clouds
12,Hot Springs,US,34.5037,-93.0552,54.0,31,100,11.99,overcast clouds
13,Shingu,JP,33.7333,135.9833,51.44,68,0,5.61,clear sky
14,Cabo San Lucas,MX,22.8909,-109.9124,85.3,53,20,14.97,few clouds
15,Gidole,ET,5.65,37.3667,64.99,44,100,6.46,overcast clouds
16,Santa Cruz,BO,-17.8,-63.1667,91.45,55,75,13.8,broken clouds
17,Albany,US,42.6001,-73.9662,53.92,65,65,1.01,broken clouds
18,Komsomolskiy,UZ,40.4272,71.7189,66.92,45,48,6.91,scattered clouds
19,Oistins,BB,13.0667,-59.5333,86.09,58,40,17.27,scattered clouds
20,Punta Arenas,CL,-53.15,-70.9167,48.22,81,40,6.91,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,60.8,71,1,21.5,clear sky
22,Madarounfa,NE,13.3087,7.156,104.23,9,0,6.6,clear sky
23,Bredasdorp,ZA,-34.5322,20.0403,60.85,64,67,17.31,broken clouds
24,Maniitsoq,GL,65.4167,-52.9,21.78,78,100,11.56,overcast clouds
25,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,74,12.01,light rain
26,Hilo,US,19.7297,-155.09,70.25,93,100,5.75,moderate rain
27,Port Elizabeth,ZA,-33.918,25.5701,61.09,80,75,6.91,broken clouds
28,Avarua,CK,-21.2078,-159.775,80.65,89,20,8.05,few clouds
29,Kijang,KR,35.2442,129.2139,47.93,66,0,7.63,clear sky
30,East London,ZA,-33.0153,27.9116,58.14,94,20,3.44,few clouds
31,Geraldton,AU,-28.7667,114.6,68.41,73,100,14.97,overcast clouds
32,Sao Filipe,CV,14.8961,-24.4956,76.62,63,0,12.01,clear sky
33,Aklavik,CA,68.2191,-135.0107,23.0,58,20,4.61,few clouds
34,Malard,IR,35.6659,50.9767,71.04,23,100,4.61,dust
35,Kapaa,US,22.0752,-159.319,75.18,84,100,20.71,light rain
36,Vaasa,FI,63.096,21.6158,39.22,87,75,10.36,broken clouds
37,Provideniya,RU,64.3833,-173.3,-2.2,97,48,5.59,scattered clouds
38,Zarautz,ES,43.2844,-2.1699,57.74,77,100,10.31,overcast clouds
39,Iowa City,US,41.6611,-91.5302,38.32,71,100,8.99,overcast clouds
40,Nabire,ID,-3.3667,135.4833,74.59,95,100,2.53,overcast clouds
41,Margate,GB,51.3813,1.3862,43.88,70,99,3.0,overcast clouds
42,Manaia,NZ,-39.55,174.1333,49.08,90,7,8.99,clear sky
43,Coquimbo,CL,-29.9533,-71.3436,66.15,70,4,7.29,clear sky
44,Linhares,BR,-19.3911,-40.0722,81.05,66,89,6.15,overcast clouds
45,Ushuaia,AR,-54.8,-68.3,44.22,75,0,0.0,clear sky
46,Sabana Grande De Boya,DO,18.945,-69.7933,84.7,66,100,4.29,overcast clouds
47,Leningradskiy,RU,69.3833,178.4167,-12.89,91,94,6.02,overcast clouds
48,Panaba,MX,21.2833,-88.2667,74.73,56,100,17.85,overcast clouds
49,Nemuro,JP,43.3236,145.575,35.69,83,97,8.48,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,51.71,77,0,3.04,clear sky
51,Tatawin,TN,32.9297,10.4518,63.61,36,1,10.33,clear sky
52,Rikitea,PF,-23.1203,-134.9692,79.52,73,6,17.78,light rain
53,Asfi,MA,32.2994,-9.2372,61.61,76,57,18.84,broken clouds
54,Cape Town,ZA,-33.9258,18.4232,64.11,62,0,17.27,clear sky
55,Casa Nova,BR,-9.4167,-41.1333,91.85,34,99,5.41,overcast clouds
56,Alofi,NU,-19.0595,-169.9187,76.89,94,91,3.44,overcast clouds
57,Bonito,BR,-21.1211,-56.4819,94.35,32,100,4.61,overcast clouds
58,Evanston,US,42.0411,-87.6901,41.52,89,100,7.0,mist
59,Bac Lieu,VN,9.285,105.7244,78.76,82,100,5.14,overcast clouds
60,Mar Del Plata,AR,-38.0023,-57.5575,70.09,91,75,9.22,broken clouds
61,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,20,17.27,few clouds
