City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2022-04-07 17:42:40,35.7333,140.8333,50.4,88,8,14.5
1,Ushumun,RU,2022-04-07 17:42:41,52.7833,126.5333,26.56,55,100,6.31
2,Ushuaia,AR,2022-04-07 17:41:24,-54.8,-68.3,44.22,61,20,10.36
3,Cherskiy,RU,2022-04-07 17:42:44,68.75,161.3,-24.65,100,66,2.42
4,Punta Arenas,CL,2022-04-07 17:39:01,-53.15,-70.9167,46.51,61,0,10.36
5,Tasiilaq,GL,2022-04-07 17:42:45,65.6145,-37.6368,23.16,91,100,9.57
6,Kruisfontein,ZA,2022-04-07 17:42:45,-34.0033,24.7314,56.88,72,27,8.9
7,Hermanus,ZA,2022-04-07 17:42:45,-34.4187,19.2345,54.81,73,19,11.59
8,Castro,BR,2022-04-07 17:39:22,-24.7911,-50.0119,73.11,74,99,1.86
9,Jamestown,US,2022-04-07 17:39:41,42.097,-79.2353,51.53,73,100,8.05
10,Khandyga,RU,2022-04-07 17:42:46,62.6667,135.6,11.16,97,100,0.81
11,Atuona,PF,2022-04-07 17:42:47,-9.8,-139.0333,79.38,71,16,15.61
12,New Norfolk,AU,2022-04-07 17:42:47,-42.7826,147.0587,49.71,76,18,2.64
13,Hithadhoo,MV,2022-04-07 17:42:48,-0.6,73.0833,82.62,63,9,2.59
14,Russell,US,2022-04-07 17:42:48,32.3502,-85.1999,70.88,37,43,12.03
15,Alice Springs,AU,2022-04-07 17:37:49,-23.7,133.8833,58.55,47,0,4.61
16,Butaritari,KI,2022-04-07 17:42:49,3.0707,172.7902,80.69,80,100,15.88
17,Qaanaaq,GL,2022-04-07 17:42:49,77.484,-69.3632,-0.22,82,28,5.12
18,Chapais,CA,2022-04-07 17:42:50,49.7834,-74.8492,38.98,96,100,14.34
19,Ishigaki,JP,2022-04-07 17:42:50,24.3448,124.1572,68.13,77,75,16.11
20,Tiksi,RU,2022-04-07 17:42:51,71.6872,128.8694,-12.53,100,92,1.88
21,Sur,OM,2022-04-07 17:42:51,22.5667,59.5289,85.12,44,2,2.77
22,Asau,RO,2022-04-07 17:42:51,46.4333,26.4,50.95,62,99,1.52
23,Yatou,CN,2022-04-07 17:42:52,37.15,122.3833,45.59,81,9,6.98
24,Gallup,US,2022-04-07 17:42:52,35.5281,-108.7426,56.16,9,0,7.0
25,Dikson,RU,2022-04-07 17:42:53,73.5069,80.5464,2.17,98,100,10.36
26,Hobart,AU,2022-04-07 17:39:01,-42.8794,147.3294,50.05,88,17,8.05
27,Rikitea,PF,2022-04-07 17:42:54,-23.1203,-134.9692,79.83,63,6,14.7
28,Ahipara,NZ,2022-04-07 17:42:54,-35.1667,173.1667,59.54,82,24,6.02
29,Port Lincoln,AU,2022-04-07 17:42:55,-34.7333,135.8667,60.12,88,45,7.7
30,Walvis Bay,NA,2022-04-07 17:42:56,-22.9575,14.5053,67.15,63,41,6.91
31,Kalmunai,LK,2022-04-07 17:42:56,7.4167,81.8167,80.22,80,77,0.63
32,Pinotepa Nacional,MX,2022-04-07 17:42:57,16.3167,-98.0167,93.24,30,98,9.19
33,Vaini,TO,2022-04-07 17:42:57,-21.2,-175.2,75.36,100,75,2.3
34,Nome,US,2022-04-07 17:42:57,64.5011,-165.4064,-11.13,64,0,11.5
35,Bera,BD,2022-04-07 17:42:58,24.0833,89.6167,82.72,49,2,7.76
36,Mataura,NZ,2022-04-07 17:42:58,-46.1927,168.8643,49.24,68,90,8.1
37,Nyurba,RU,2022-04-07 17:42:59,63.2842,118.3319,11.62,94,100,6.42
38,Havelock,US,2022-04-07 17:42:59,34.8791,-76.9013,81.01,77,40,17.27
39,Auki,SB,2022-04-07 17:43:00,-8.7676,160.7034,77.43,87,100,5.37
40,Faya,SA,2022-04-07 17:43:00,18.3851,42.4509,73.51,22,0,3.15
41,Hambantota,LK,2022-04-07 17:43:01,6.1241,81.1185,79.48,81,89,3.94
42,Honiara,SB,2022-04-07 17:43:01,-9.4333,159.95,77.47,86,100,4.5
43,Saskylakh,RU,2022-04-07 17:43:03,71.9167,114.0833,-24.11,100,13,2.24
44,Tuktoyaktuk,CA,2022-04-07 17:44:04,69.4541,-133.0374,15.8,73,75,10.36
45,Hilo,US,2022-04-07 17:43:28,19.7297,-155.09,73.26,84,75,10.36
46,Kapaa,US,2022-04-07 17:44:05,22.0752,-159.319,74.19,80,75,13.8
47,Manokwari,ID,2022-04-07 17:44:05,-0.8667,134.0833,78.39,77,100,3.58
48,Touros,BR,2022-04-07 17:44:06,-5.1989,-35.4608,85.66,63,74,13.35
49,Torbay,CA,2022-04-07 17:44:06,47.6666,-52.7314,38.28,95,100,16.11
50,Kaitangata,NZ,2022-04-07 17:44:07,-46.2817,169.8464,50.68,63,69,14.07
51,Victoria,HK,2022-04-07 17:40:44,22.2855,114.1577,73.96,49,1,17.0
52,Aquiraz,BR,2022-04-07 17:44:08,-3.9014,-38.3911,86.09,80,99,10.27
53,Christchurch,NZ,2022-04-07 17:42:44,-43.5333,172.6333,42.94,89,2,6.91
54,Yellowknife,CA,2022-04-07 17:42:21,62.456,-114.3525,33.42,68,40,5.75
55,Chuy,UY,2022-04-07 17:44:08,-33.6971,-53.4616,75.51,45,100,5.39
56,Fortuna,US,2022-04-07 17:44:09,40.5982,-124.1573,69.93,63,0,4.61
57,Caohe,CN,2022-04-07 17:44:09,30.2297,115.4335,65.05,62,0,4.16
58,Port Elizabeth,ZA,2022-04-07 17:39:47,-33.918,25.5701,59.31,75,0,13.8
59,Mecca,SA,2022-04-07 17:41:28,21.4267,39.8261,83.34,32,0,3.02
60,Yulara,AU,2022-04-07 17:44:12,-25.2406,130.9889,62.44,45,0,5.75
61,Port Keats,AU,2022-04-07 17:41:22,-14.25,129.55,80.06,82,88,3.74
62,Upernavik,GL,2022-04-07 17:44:14,72.7868,-56.1549,7.72,88,94,2.93
63,Seoul,KR,2022-04-07 17:39:15,37.5683,126.9778,44.04,81,0,8.05
64,Fairbanks,US,2022-04-07 17:42:54,64.8378,-147.7164,32.22,75,75,4.61
65,The Pas,CA,2022-04-07 17:44:15,53.8251,-101.2541,37.42,60,0,8.05
66,Hornepayne,CA,2022-04-07 17:44:16,49.2138,-84.7705,32.5,96,100,10.11
67,Chikwawa,MW,2022-04-07 17:44:17,-16.0335,34.8009,75.33,94,90,2.39
68,Busselton,AU,2022-04-07 17:44:17,-33.65,115.3333,65.3,56,76,3.6
69,Grand Gaube,MU,2022-04-07 17:44:17,-20.0064,57.6608,79.2,87,39,1.99
70,Puerto Ayora,EC,2022-04-07 17:44:18,-0.7393,-90.3518,84.16,71,48,10.09
71,Yate,GB,2022-04-07 17:44:18,51.5407,-2.4184,48.72,67,52,3.0
72,Sechura,PE,2022-04-07 17:41:45,-5.5569,-80.8222,83.21,52,59,13.42
73,Albany,US,2022-04-07 17:42:27,42.6001,-73.9662,48.38,91,100,8.01
74,Husavik,IS,2022-04-07 17:44:20,66.0449,-17.3389,26.91,73,95,3.76
75,Kohlu,PK,2022-04-07 17:44:20,29.8962,69.252,75.6,11,0,2.77
76,Lavrentiya,RU,2022-04-07 17:44:21,65.5833,-171.0,-10.32,94,100,6.26
77,Bambous Virieux,MU,2022-04-07 17:39:57,-20.3428,57.7575,79.05,83,40,10.36
78,Mar Del Plata,AR,2022-04-07 17:44:21,-38.0023,-57.5575,62.62,86,75,11.5
79,Lisakovsk,KZ,2022-04-07 17:44:22,52.5369,62.4936,39.43,92,34,12.59
80,Ponta Do Sol,PT,2022-04-07 17:44:22,32.6667,-17.1,65.71,73,59,1.45
81,Uporovo,RU,2022-04-07 17:44:23,56.3109,66.2693,34.39,92,100,7.83
82,Ayagoz,KZ,2022-04-07 17:44:23,47.9714,80.4392,49.1,84,100,7.07
83,Provideniya,RU,2022-04-07 17:44:24,64.3833,-173.3,-4.88,92,91,2.04
84,Hudson Bay,CA,2022-04-07 17:44:24,52.85,-102.3842,34.03,82,96,5.5
85,Lebu,CL,2022-04-07 17:44:24,-37.6167,-73.65,61.32,84,50,6.73
86,Dubai,AE,2022-04-07 17:44:25,25.2582,55.3047,85.93,39,0,4.61
87,Khatanga,RU,2022-04-07 17:44:25,71.9667,102.5,3.88,92,100,13.65
88,Luderitz,NA,2022-04-07 17:44:26,-26.6481,15.1594,68.38,50,53,18.99
89,Avarua,CK,2022-04-07 17:44:26,-21.2078,-159.775,78.85,89,40,5.75
90,Pevek,RU,2022-04-07 17:45:27,69.7008,170.3133,-3.23,98,100,6.33
91,Cape Town,ZA,2022-04-07 17:40:40,-33.9258,18.4232,62.28,70,0,18.41
92,Namatanai,PG,2022-04-07 17:45:28,-3.6667,152.4333,78.04,83,100,1.72
93,Huangmei,CN,2022-04-07 17:45:28,30.1924,116.025,65.48,64,0,1.05
94,Hami,CN,2022-04-07 17:45:29,42.8,93.45,65.41,15,28,7.0
95,Kodiak,US,2022-04-07 17:45:30,57.79,-152.4072,29.71,100,100,3.44
96,Yar-Sale,RU,2022-04-07 17:45:30,66.8333,70.8333,-2.6,98,100,7.74
97,Thohoyandou,ZA,2022-04-07 17:45:31,-22.9456,30.485,76.06,55,36,15.37
98,Naze,JP,2022-04-07 17:45:31,28.3667,129.4833,61.72,67,86,11.12
99,Cascais,PT,2022-04-07 17:45:32,38.6979,-9.4215,61.47,66,75,13.0
100,Saint-Philippe,RE,2022-04-07 17:45:33,-21.3585,55.7679,76.59,84,38,12.77
101,Pitimbu,BR,2022-04-07 17:45:33,-7.4706,-34.8086,86.59,69,95,10.29
102,Dunedin,NZ,2022-04-07 17:43:44,-45.8742,170.5036,48.49,67,19,12.97
103,Whitehorse,CA,2022-04-07 17:45:34,60.7161,-135.0538,34.02,62,75,18.41
104,Beyneu,KZ,2022-04-07 17:45:34,45.3167,55.2,60.01,47,36,15.82
105,Paralimni,CY,2022-04-07 17:45:35,35.0375,33.9833,63.48,96,52,1.01
106,Kununurra,AU,2022-04-07 17:41:43,-15.7667,128.7333,75.18,94,35,2.3
107,Atar,MR,2022-04-07 17:45:36,20.5169,-13.0499,91.31,11,0,13.98
108,Mahebourg,MU,2022-04-07 17:45:37,-20.4081,57.7,79.09,83,40,10.36
109,Leo,BF,2022-04-07 17:45:37,11.1,-2.1,94.23,29,87,3.33
110,Aldergrove,CA,2022-04-07 17:45:38,49.058,-122.4709,56.98,57,100,4.61
111,Safakulevo,RU,2022-04-07 17:45:39,54.9901,62.5442,29.57,91,99,7.63
112,Bani,DO,2022-04-07 17:45:39,18.2833,-70.3333,85.44,51,14,15.12
113,Saint-Joseph,RE,2022-04-07 17:45:40,-21.3667,55.6167,75.58,81,36,12.44
114,Bontang,ID,2022-04-07 17:45:40,0.1333,117.5,76.39,90,88,6.73
115,Prince Rupert,CA,2022-04-07 17:45:41,54.3161,-130.3201,37.49,93,100,9.22
